,Phy Data
431,1.81629
432,1.8744
433,1.80801
434,1.13303
435,1.59138
436,1.5580599999999998
437,2.01621
438,1.73299
439,0.99975
440,1.7497
441,1.64116
442,2.31614
443,1.91625
444,1.85799
445,1.22466
446,2.03287
447,1.9579
448,1.18301
449,2.94084
450,2.30776
451,1.23299
452,1.9579
453,2.01621
454,2.0410500000000003
455,1.09138
456,2.69119
457,2.21638
458,2.21638
459,2.5829000000000004
460,2.13308
461,1.98294
462,1.9161
463,2.77449
464,1.59138
465,2.23304
466,0.8581399999999999
467,1.8746
468,2.48294
469,2.03292
470,1.71638
471,2.21638
472,1.68301
473,2.20765
474,2.26636
475,2.21638
476,2.35799
477,2.44962
478,2.30801
479,1.4079199999999998
480,1.59138
481,1.98294
482,1.71638
483,2.21638
484,1.98294
485,1.63303
486,2.40772
487,1.42458
488,1.24965
489,1.19134
490,2.01621
491,2.47421
492,2.23284
493,1.7078000000000002
494,1.65782
495,1.73299
496,1.73299
497,1.71638
498,2.04125
499,1.52454
500,1.98294
501,2.20765
502,1.74965
503,1.99127
504,2.14121
505,2.47421
506,1.19134
507,1.6913399999999998
508,1.84961
509,1.6913399999999998
510,2.13288
511,0.99975
512,2.20765
513,1.32462
514,1.2913
515,1.89964
516,1.73299
517,1.97456
518,1.8746
519,2.44922
520,1.76631
521,1.79968
522,1.81634
523,1.84961
524,1.71638
525,2.50753
526,1.4579
527,1.9826900000000005
528,1.75803
529,1.83295
530,2.33275
531,1.4581
532,1.98294
533,1.61617
534,1.89126
535,1.59138
536,2.07452
537,1.19134
538,1.73299
539,1.85799
540,1.6913399999999998
541,1.89126
542,1.80796
543,2.04125
544,1.05806
545,1.04973
546,1.81614
547,1.09138
548,1.73299
549,1.05806
550,2.0495300000000007
551,1.90797
552,2.2244600000000005
553,1.03307
554,1.08305
555,1.81634
556,1.80796
557,1.58305
558,2.03292
559,1.58305
560,1.69947
561,1.68301
562,1.63303
563,1.73299
564,2.6658
565,2.01621
566,2.09951
567,2.47421
568,1.76631
