,T_UL Total [ms],Num Codeblocks
0,1.49147,8.0
1,1.59143,17.0
2,1.49147,8.0
3,1.49147,9.0
4,2.07477,17.0
5,1.99147,9.0
6,1.26651,3.0
7,1.41645,9.0
8,2.0831,13.0
9,1.49147,8.0
10,1.51641,20.0
11,2.14141,20.0
12,1.49147,9.0
13,2.04145,9.0
14,1.59143,17.0
15,1.99147,9.0
16,1.49147,9.0
17,1.39979,13.0
18,1.41645,10.0
19,1.26651,3.0
20,1.49147,9.0
21,1.36647,5.0
22,0.9581,10.0
23,2.04145,9.0
24,0.94977,11.0
25,1.49147,9.0
26,1.49147,12.0
27,1.52474,22.0
28,1.50808,28.0
29,0.8664700000000001,15.0
30,1.74137,33.0
31,1.36647,15.0
32,0.96643,26.0
33,1.4247800000000002,22.0
34,1.36647,15.0
35,1.52474,22.0
36,1.0663900000000002,35.0
37,1.49147,11.0
38,1.50808,29.0
39,1.46643,25.0
40,1.40812,16.0
41,1.46643,26.0
42,1.40812,19.0
43,1.49147,11.0
44,2.09118,25.0
45,1.5663900000000002,35.0
46,1.46643,16.0
47,1.1247,23.0
48,2.00788,11.0
49,1.46643,15.0
50,1.36647,13.0
51,1.36647,13.0
52,1.46643,17.0
53,1.49147,15.0
54,0.8664700000000001,14.0
55,1.0663900000000002,36.0
56,0.99142,21.0
57,1.46643,15.0
58,1.36647,11.0
59,1.36647,13.0
60,1.36647,13.0
61,0.96643,23.0
62,1.36647,11.0
63,1.52474,18.0
64,1.33295,11.0
65,1.36647,13.0
66,1.52474,18.0
67,1.57477,17.0
68,0.8664700000000001,13.0
69,1.52474,18.0
70,1.02474,18.0
71,0.90812,17.0
72,1.54973,26.0
73,2.24112,30.0
74,1.59138,29.0
75,0.96643,13.0
76,1.59143,19.0
77,1.5663900000000002,24.0
78,1.5831,12.0
79,1.52474,20.0
80,1.40812,15.0
81,1.5663900000000002,17.0
82,1.46643,15.0
83,1.64141,21.0
84,1.05806,14.0
85,1.49147,10.0
86,0.90812,14.0
87,1.52474,22.0
88,1.00808,25.0
89,1.45795,10.0
90,1.5663900000000002,26.0
91,1.7663600000000002,33.0
92,1.35799,4.0
93,1.79963,34.0
94,1.40812,15.0
95,1.49147,10.0
