,WB CQI,Mobility
258,13.333333333333334,Walking
259,13.857142857142858,Walking
260,14.0,Walking
261,14.0,Walking
262,13.5,Walking
263,13.818181818181818,Walking
264,13.666666666666666,Walking
265,12.333333333333334,Walking
266,14.0,Walking
267,14.0,Walking
268,14.0,Walking
269,14.0,Walking
270,14.0,Walking
271,14.0,Walking
272,13.2,Walking
273,14.0,Walking
274,13.5,Walking
275,13.0,Walking
276,14.0,Walking
277,14.0,Walking
278,13.666666666666666,Walking
279,14.0,Walking
280,14.0,Walking
281,14.0,Walking
282,14.0,Walking
283,14.0,Walking
284,14.0,Walking
285,14.0,Walking
286,13.0,Walking
287,14.0,Walking
288,13.333333333333334,Walking
289,12.11111111111111,Walking
290,14.0,Walking
291,13.0,Walking
292,14.0,Walking
293,13.0,Walking
294,13.0,Walking
295,14.0,Walking
296,13.5,Walking
297,14.0,Walking
298,14.0,Walking
299,13.833333333333334,Walking
300,14.0,Walking
301,13.0,Walking
302,14.0,Walking
303,13.0,Walking
304,14.0,Walking
305,12.666666666666666,Walking
306,12.5,Walking
307,14.0,Walking
308,14.0,Walking
309,13.0,Walking
310,14.0,Walking
311,13.0,Walking
312,13.0,Walking
313,13.0,Walking
314,14.0,Walking
315,14.0,Walking
316,14.0,Walking
317,14.0,Walking
318,14.0,Walking
319,13.666666666666666,Walking
320,14.0,Walking
321,13.142857142857142,Walking
322,13.0,Walking
323,13.0,Walking
324,13.142857142857142,Walking
325,14.0,Walking
326,13.0,Walking
327,12.75,Walking
328,14.0,Walking
329,13.0,Walking
330,13.0,Walking
331,13.0,Walking
332,12.38888888888889,Walking
333,12.555555555555555,Walking
334,13.0,Walking
335,12.5,Walking
336,14.0,Walking
337,13.5,Walking
338,14.0,Walking
339,13.0,Walking
340,12.5,Walking
341,13.0,Walking
342,12.2,Walking
343,14.0,Walking
344,14.0,Walking
345,14.0,Walking
346,13.8,Walking
347,13.0,Walking
348,14.0,Walking
349,13.0,Walking
350,13.666666666666666,Walking
351,13.0,Walking
352,13.5,Walking
353,14.0,Walking
354,14.0,Walking
355,13.5,Walking
356,13.5,Walking
357,13.25,Walking
358,13.0,Walking
359,13.5,Walking
360,12.5,Walking
361,14.0,Walking
362,13.857142857142858,Walking
363,14.0,Walking
364,14.0,Walking
365,14.0,Walking
