,Phy Layer Delay [ms]
379,1.90797
380,2.17448
381,1.7080000000000002
382,2.33275
383,1.19134
384,2.67433
385,2.0410500000000003
386,1.09138
387,2.69119
388,2.21638
389,2.21638
390,2.5829000000000004
391,2.13308
392,1.98294
393,1.9161
394,2.77449
395,1.59138
396,2.23304
397,0.8581399999999999
398,1.8746
399,2.48294
400,2.03292
401,1.71638
402,2.21638
403,1.68301
404,2.20765
405,2.26636
406,2.21638
407,2.35799
408,2.44962
409,2.30801
410,1.4079199999999998
411,1.59138
412,1.98294
413,1.71638
414,2.21638
415,1.98294
416,1.63303
417,2.40772
418,1.42458
419,2.01621
420,2.29928
421,1.24965
422,1.19134
423,2.01621
424,2.47421
425,2.23284
426,1.7078000000000002
427,1.65782
428,1.73299
429,1.73299
430,1.71638
431,2.04125
432,1.52454
433,1.98294
434,2.20765
435,1.74965
436,1.99127
437,2.14121
438,2.47421
439,1.19134
440,1.6913399999999998
441,1.84961
442,1.6913399999999998
443,2.13288
444,0.99975
445,2.20765
446,1.32462
447,1.2913
448,1.71638
449,1.89964
450,1.73299
451,1.97456
452,1.8746
453,2.44922
454,1.76631
455,1.79968
456,1.81634
457,1.84961
458,1.71638
459,1.81634
460,1.80796
461,1.58305
462,2.03292
463,1.58305
464,1.69947
465,1.68301
466,1.63303
467,1.73299
468,2.6658
469,2.01621
470,2.09951
471,2.47421
472,1.76631
473,0.9581
474,1.50808
475,2.53252
476,2.03292
477,1.7080000000000002
478,1.55786
479,1.7913
480,2.13288
481,1.42458
482,1.64969
483,1.81634
484,1.09138
485,1.50808
486,1.71638
487,1.73299
488,1.13303
489,1.09971
490,1.8163400000000005
491,1.27464
492,1.93291
493,1.86632
494,1.6913399999999998
495,1.23299
496,1.9579
497,1.75803
498,1.83295
499,2.33275
500,1.4581
501,1.98294
502,1.61617
503,1.89126
504,1.59138
505,2.07452
506,1.19134
507,1.73299
508,1.85799
509,1.6913399999999998
510,1.89126
511,1.80796
512,2.04125
513,1.05806
514,1.04973
515,1.81614
516,1.09138
517,1.73299
518,1.05806
519,2.0495300000000007
520,2.50753
521,1.4579
522,1.9826900000000005
523,1.0330700000000002
524,1.5580599999999998
525,1.7080000000000002
526,1.84961
527,1.41625
528,1.5578600000000002
529,1.7913
530,2.38258
531,1.74965
532,1.44957
533,1.81629
534,1.8744
535,1.80801
536,1.13303
537,1.59138
538,1.5580599999999998
539,2.01621
540,1.73299
541,0.99975
542,1.7497
543,1.64116
544,1.91625
545,1.85799
546,1.22466
547,1.90797
548,2.2244600000000005
549,1.03307
550,1.08305
551,2.2911
552,1.73299
553,1.89101
554,2.0412
555,1.84966
556,2.5327200000000003
557,1.81629
558,2.72411
559,1.48294
560,2.47436
561,1.8746
562,1.60804
563,1.73299
564,2.12435
565,1.64969
566,1.84961
567,1.73299
568,1.71638
569,1.80801
570,1.73304
571,1.9163
572,1.60804
573,1.71613
574,1.68301
575,1.7080000000000002
576,2.041
577,1.76636
578,1.50808
579,1.83295
580,1.64969
581,2.06619
582,2.8823800000000004
583,1.09138
584,1.89126
585,1.60784
586,1.63303
587,1.68301
588,2.49087
589,1.59138
590,1.33295
591,1.1164199999999995
592,2.29943
593,1.98289
594,1.19972
595,1.66635
596,1.47456
597,1.10804
598,1.90792
599,1.2080000000000002
600,1.77444
601,1.68301
602,1.3995900000000003
603,2.17453
604,2.42423
605,1.83295
606,2.9158500000000003
607,2.46603
608,2.04125
609,1.89126
610,1.11642
611,1.65787
612,2.21593
613,2.4077200000000003
614,2.79923
615,1.23299
616,1.74965
617,1.93291
618,2.15782
619,1.6913399999999998
620,1.10804
621,1.59971
622,1.6913399999999998
623,1.68301
624,1.8746
625,1.81609
626,1.6913399999999998
627,1.7080000000000002
628,1.17468
629,1.27464
630,1.6913399999999998
631,1.83295
632,2.47436
633,2.79923
634,2.38253
635,2.2911
636,2.31614
637,1.7913
638,1.76631
639,2.07452
640,1.7913
641,2.19952
642,1.89964
643,1.74965
644,1.7080000000000002
645,1.6913399999999998
646,1.18301
647,1.7913
648,1.23299
649,1.7913
650,2.35754
651,1.65782
652,1.6913399999999998
653,2.24945
654,2.21618
655,2.1826600000000003
656,1.87465
657,2.83235
658,2.38283
659,2.03292
660,2.03292
661,2.14121
662,1.49142
663,1.50808
664,1.6913399999999998
665,1.59138
666,1.81634
667,1.94129
668,1.04973
669,1.31629
670,0.99142
671,1.0330700000000002
672,1.7913
673,1.59138
674,1.63303
675,2.09143
676,1.81634
677,1.73299
678,1.68301
679,1.59138
680,1.6830599999999998
681,1.60804
682,1.04973
683,2.43256
684,1.17468
685,1.84128
686,1.69967
687,1.81634
688,1.68301
689,1.89959
690,1.74132
691,1.6913399999999998
692,1.1247
693,1.13303
694,1.85794
695,1.19134
696,1.00808
697,1.80796
698,2.38283
699,1.59138
700,1.64136
701,1.89964
702,2.03292
703,1.2913
704,2.03287
705,1.76636
706,1.82462
707,1.7913
708,1.2913
709,1.6913399999999998
710,1.8746
711,1.6913399999999998
712,1.61637
713,1.2913
714,1.6913399999999998
715,1.92458
716,2.04953
717,2.00788
718,1.23299
719,1.73304
720,1.7913
721,1.9079200000000005
722,1.74965
723,1.97456
724,1.63303
725,2.30776
726,2.02454
727,2.07452
728,1.59118
729,2.16615
730,1.76636
731,2.09951
732,1.6913399999999998
733,1.73299
734,1.0330700000000002
735,2.26596
736,1.71638
737,2.21638
738,2.3745
739,1.0330700000000002
740,2.21638
741,2.45795
742,1.75798
743,1.89964
744,1.81634
745,1.96608
746,1.04973
747,1.98294
748,2.59123
749,1.59138
750,1.98294
751,1.23299
752,2.35799
753,0.90812
754,2.53292
755,1.81634
756,1.81634
757,1.71638
758,1.53307
759,1.71638
760,1.81634
761,1.89964
762,2.36592
763,1.53307
764,2.51586
765,1.59138
766,0.94977
767,1.63303
768,2.03292
769,1.71638
770,1.74112
771,1.94129
772,1.69947
773,2.44922
774,2.11617
775,2.25763
776,1.74965
777,2.64096
778,2.27469
779,1.59971
780,2.04125
781,1.48309
