,Phy Layer Delay [ms],Mobility
263,3.4820899999999995,Walking
264,1.68281,Walking
265,2.62415,Walking
266,2.24945,Walking
267,0.89984,Walking
268,0.59158,Walking
269,1.72446,Walking
270,5.30641,Walking
271,3.44064,Walking
272,0.9165,Walking
273,3.70705,Walking
274,3.66555,Walking
275,2.07457,Walking
276,5.03167,Walking
277,3.99117,Walking
278,2.62415,Walking
279,1.92458,Walking
280,2.31614,Walking
281,2.14116,Walking
282,2.64126,Walking
283,1.69967,Walking
284,1.4579,Walking
285,1.86627,Walking
286,4.38178,Walking
287,1.71633,Walking
288,6.4559500000000005,Walking
289,1.83295,Walking
290,2.09143,Walking
291,2.1662,Walking
292,1.4581,Walking
293,3.29883,Walking
294,2.13288,Walking
295,1.71638,Walking
296,2.74092,Walking
297,6.864120000000001,Walking
298,2.09098,Walking
299,2.24097,Walking
300,1.73299,Walking
301,2.42423,Walking
302,2.3325500000000003,Walking
303,1.73299,Walking
304,1.91625,Walking
305,1.96623,Walking
306,1.91625,Walking
307,5.34801,Walking
308,3.44902,Walking
309,4.34841,Walking
310,2.49935,Walking
311,4.299430000000001,Walking
312,1.7327899999999998,Walking
313,1.72466,Walking
314,1.5580599999999998,Walking
315,2.09098,Walking
316,1.2829700000000002,Walking
317,0.81654,Walking
318,4.05691,Walking
319,5.88133,Walking
320,3.99027,Walking
321,3.3072100000000004,Walking
322,2.64914,Walking
323,2.5576600000000003,Walking
324,2.24097,Walking
325,1.88273,Walking
326,1.19134,Walking
327,1.78297,Walking
328,1.83295,Walking
329,3.34093,Walking
330,2.18281,Walking
331,1.73299,Walking
332,5.06524,Walking
333,3.19892,Walking
334,4.615170000000001,Walking
335,3.8738,Walking
336,3.4904699999999997,Walking
337,4.98982,Walking
338,1.1247,Walking
339,1.5580599999999998,Walking
340,1.81634,Walking
341,1.68301,Walking
342,6.23104,Walking
343,4.98982,Walking
344,1.51621,Walking
345,1.97456,Walking
346,6.5392,Walking
347,6.464230000000001,Walking
348,3.66535,Walking
349,2.4575,Walking
350,1.73279,Walking
351,3.3242700000000003,Walking
352,3.89046,Walking
353,4.20725,Walking
354,2.79075,Walking
355,2.1078900000000003,Walking
356,4.05691,Walking
357,2.68241,Walking
358,6.631030000000001,Walking
359,2.85754,Walking
360,1.97456,Walking
361,4.11537,Walking
362,1.53287,Walking
363,3.01566,Walking
364,1.47456,Walking
365,2.25758,Walking
366,3.94044,Walking
367,3.73204,Walking
368,1.50788,Walking
369,3.84886,Walking
370,5.29828,Walking
371,4.78995,Walking
372,1.4996,Walking
373,3.35714,Walking
374,4.748450000000001,Walking
375,5.07332,Walking
376,6.680860000000001,Walking
377,4.673330000000001,Walking
378,4.48189,Walking
379,1.89939,Walking
380,1.65802,Walking
381,2.17448,Walking
382,2.12435,Walking
383,2.44104,Walking
384,1.60804,Walking
385,1.63308,Walking
386,1.63303,Walking
387,2.1243,Walking
388,1.68301,Walking
389,2.19932,Walking
390,4.8068100000000005,Walking
391,1.4912200000000002,Walking
392,1.92438,Walking
393,2.24092,Walking
394,1.7828199999999998,Walking
395,1.69947,Walking
396,5.03147,Walking
397,3.07397,Walking
398,2.46588,Walking
399,4.598310000000001,Walking
400,2.18281,Walking
401,2.4160500000000003,Walking
402,1.67468,Walking
403,2.19932,Walking
404,1.91625,Walking
405,4.26516,Walking
406,3.865320000000001,Walking
407,3.5406500000000003,Walking
408,1.5661900000000002,Walking
409,2.62435,Walking
410,1.59123,Walking
411,1.14969,Walking
412,2.24925,Walking
413,2.19932,Walking
414,3.50713,Walking
415,5.46468,Walking
416,1.3746,Walking
417,1.59971,Walking
418,1.89964,Walking
419,2.14116,Walking
420,1.54973,Walking
421,3.97356,Walking
422,1.80776,Walking
423,1.5497299999999998,Walking
424,1.6913399999999998,Walking
425,2.24097,Walking
426,1.23299,Walking
427,4.20685,Walking
428,1.68306,Walking
429,2.24092,Walking
430,1.97456,Walking
431,1.0330700000000002,Walking
432,1.9579,Walking
433,2.17453,Walking
434,1.7661600000000002,Walking
435,1.19134,Walking
436,2.39106,Walking
437,3.99047,Walking
438,4.46508,Walking
439,3.75723,Walking
440,1.60804,Walking
441,1.59118,Walking
442,3.52374,Walking
443,1.40797,Walking
444,2.99067,Walking
445,1.96623,Walking
446,2.14116,Walking
447,3.85719,Walking
448,1.41625,Walking
