,T_UL Data Plane [ms],T_UL Control Delay [ms],T_UL Total [ms],SR Delay [ms],UL Grant to Ul Data Delay  [ms]
498,0.23324,1.34986,1.5831,1.0,0.34986
499,0.34153,1.34986,1.6913900000000002,1.0,0.34986
500,0.04165,1.22486,1.26651,0.875,0.34986
501,0.14161,1.22486,1.36647,0.875,0.34986
502,0.14161,1.22486,1.36647,0.875,0.34986
503,0.24157,1.34986,1.59143,1.0,0.34986
504,0.14161,1.34986,1.49147,1.0,0.34986
505,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
506,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
507,0.04165,0.7248600000000001,0.76651,0.375,0.34986
508,0.0833,0.7248600000000001,0.8081600000000001,0.375,0.34986
509,0.34153,1.22486,1.5663900000000002,0.875,0.34986
510,0.14161,1.22486,1.36647,0.875,0.34986
511,0.1832599999999999,1.22486,1.40812,0.875,0.34986
512,0.24157,1.22486,1.46643,0.875,0.34986
513,0.67473,1.22486,1.89959,0.875,0.34986
514,0.62475,1.22486,1.84961,0.875,0.34986
515,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
516,0.52479,1.22486,1.74965,0.875,0.34986
517,0.29155,1.34986,1.64141,1.0,0.34986
518,0.34153,1.22486,1.5663900000000002,0.875,0.34986
519,0.39984,1.22486,1.6247,0.875,0.34986
520,0.39984,1.22486,1.6247,0.875,0.34986
521,0.48314,1.34986,1.833,1.0,0.34986
522,0.29988,1.22486,1.52474,0.875,0.34986
523,0.34153,1.22486,1.5663900000000002,0.875,0.34986
524,0.24157,1.22486,1.46643,0.875,0.34986
525,0.24157,0.7248600000000001,0.96643,0.375,0.34986
526,0.34153,1.22486,1.5663900000000002,0.875,0.34986
527,0.28322,0.7248600000000001,1.00808,0.375,0.34986
528,0.34153,1.22486,1.5663900000000002,0.875,0.34986
529,0.28322,1.19134,1.47456,0.375,0.8163400000000001
530,0.48314,0.7248600000000001,1.2080000000000002,0.375,0.34986
531,0.5831000000000001,1.22486,1.80796,0.875,0.34986
532,0.23324,1.34986,1.5831,1.0,0.34986
533,0.24157,1.22486,1.46643,0.875,0.34986
534,0.24157,0.7248600000000001,0.96643,0.375,0.34986
535,0.23324,1.22486,1.4581,0.875,0.34986
536,0.24157,1.22486,1.46643,0.875,0.34986
537,0.23324,1.22486,1.4581,0.875,0.34986
538,0.42483,1.22486,1.64969,0.875,0.34986
539,0.28322,1.30796,1.59118,0.375,0.93296
540,0.24157,1.22486,1.46643,0.875,0.34986
541,0.34153,1.22486,1.5663900000000002,0.875,0.34986
542,0.22491,0.7248600000000001,0.94977,0.375,0.34986
543,0.32487,0.7248600000000001,1.04973,0.375,0.34986
544,0.24157,1.22486,1.46643,0.875,0.34986
545,0.38318,1.19134,1.57452,0.375,0.8163400000000001
546,0.14161,1.89944,2.0410500000000003,0.5,1.39944
547,0.38318,1.34986,1.73304,1.0,0.34986
548,0.23324,1.22486,1.4581,0.875,0.34986
549,0.0833,0.7248600000000001,0.8081600000000001,0.375,0.34986
550,0.38318,1.34986,1.73304,1.0,0.34986
551,0.52479,0.7248600000000001,1.24965,0.375,0.34986
552,0.42483,1.22486,1.64969,0.875,0.34986
553,0.24157,1.34986,1.59143,1.0,0.34986
554,0.44149,1.22486,1.66635,0.875,0.34986
555,0.48314,1.80796,2.2911,0.875,0.93296
556,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
557,0.14161,1.22486,1.36647,0.875,0.34986
558,0.22491,1.22486,1.44977,0.875,0.34986
559,0.28322,0.7248600000000001,1.00808,0.375,0.34986
560,0.48314,1.22486,1.7080000000000002,0.875,0.34986
561,0.48314,1.22486,1.7080000000000002,0.875,0.34986
562,0.61642,1.22486,1.84128,0.875,0.34986
563,0.04165,1.89944,1.94109,0.5,1.39944
564,0.1832599999999999,1.34986,1.53312,1.0,0.34986
565,0.09996,1.84986,1.94982,1.5,0.34986
566,0.24157,1.34986,1.59143,1.0,0.34986
567,0.23324,1.22486,1.4581,0.875,0.34986
568,0.14161,1.22486,1.36647,0.875,0.34986
569,0.24157,1.34986,1.59143,1.0,0.34986
570,0.29155,1.22486,1.51641,0.875,0.34986
571,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
572,0.19159,1.88278,2.07437,0.5,1.38278
573,0.22491,0.7248600000000001,0.94977,0.375,0.34986
574,0.3915099999999999,1.22486,1.61637,0.875,0.34986
575,0.3332,1.22486,1.55806,0.875,0.34986
576,0.23324,1.22486,1.4581,0.875,0.34986
577,0.14161,1.22486,1.36647,0.875,0.34986
578,0.29155,1.22486,1.51641,0.875,0.34986
579,0.24157,1.22486,1.46643,0.875,0.34986
580,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
581,0.1832599999999999,1.22486,1.40812,0.875,0.34986
582,0.24157,0.7248600000000001,0.96643,0.375,0.34986
583,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
584,0.14161,1.22486,1.36647,0.875,0.34986
585,0.23324,1.92468,2.15792,1.125,0.7996800000000001
586,0.14161,1.22486,1.36647,0.875,0.34986
587,0.34153,0.7248600000000001,1.0663900000000002,0.375,0.34986
588,0.19159,1.34986,1.54145,1.0,0.34986
589,0.37485,1.22486,1.59971,0.875,0.34986
590,0.34153,1.22486,1.5663900000000002,0.875,0.34986
591,0.34153,0.7248600000000001,1.0663900000000002,0.375,0.34986
592,0.24157,1.22486,1.46643,0.875,0.34986
593,0.28322,1.22486,1.50808,0.875,0.34986
594,0.24157,1.22486,1.46643,0.875,0.34986
595,0.29988,1.22486,1.52474,0.875,0.34986
596,0.34153,0.7248600000000001,1.0663900000000002,0.375,0.34986
597,0.24157,1.22486,1.46643,0.875,0.34986
598,0.3332,1.22486,1.55806,0.875,0.34986
599,0.37485,1.22486,1.59971,0.875,0.34986
600,0.3332,1.22486,1.55806,0.875,0.34986
601,0.28322,0.7248600000000001,1.00808,0.375,0.34986
602,0.24157,1.34986,1.59143,1.0,0.34986
603,0.34153,1.22486,1.5663900000000002,0.875,0.34986
604,0.5414500000000001,1.22486,1.7663100000000005,0.875,0.34986
605,0.29988,1.22486,1.52474,0.875,0.34986
606,0.29988,1.22486,1.52474,0.875,0.34986
607,0.1832599999999999,1.22486,1.40812,0.875,0.34986
608,0.14161,1.22486,1.36647,0.875,0.34986
609,0.44149,1.22486,1.66635,0.875,0.34986
610,0.39984,1.22486,1.6247,0.875,0.34986
611,0.24157,0.7248600000000001,0.96643,0.375,0.34986
612,0.71638,1.22486,1.94124,0.875,0.34986
613,0.19159,1.34986,1.54145,1.0,0.34986
614,0.42483,1.22486,1.64969,0.875,0.34986
615,0.28322,1.22486,1.50808,0.875,0.34986
616,0.0833,0.7248600000000001,0.8081600000000001,0.375,0.34986
617,0.14161,1.84986,1.99147,1.5,0.34986
618,0.24157,1.84986,2.09143,1.5,0.34986
619,0.14161,1.31634,1.45795,0.5,0.8163400000000001
620,0.14161,1.34986,1.49147,1.0,0.34986
621,0.14161,1.84986,1.99147,1.5,0.34986
622,0.0833,0.7248600000000001,0.8081600000000001,0.375,0.34986
623,0.14161,1.84986,1.99147,1.5,0.34986
624,0.38318,1.84986,2.23304,1.5,0.34986
625,0.0833,1.22486,1.30816,0.875,0.34986
626,0.1832599999999999,1.34986,1.53312,1.0,0.34986
627,0.24157,1.34986,1.59143,1.0,0.34986
628,0.28322,1.31634,1.59956,0.5,0.8163400000000001
629,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
630,0.1832599999999999,1.34986,1.53312,1.0,0.34986
631,0.29155,1.84986,2.14141,1.5,0.34986
632,0.14161,1.22486,1.36647,0.875,0.34986
633,0.28322,0.7248600000000001,1.00808,0.375,0.34986
634,0.14161,1.84986,1.99147,1.5,0.34986
635,0.28322,1.84986,2.13308,1.5,0.34986
636,0.04165,0.7248600000000001,0.76651,0.375,0.34986
637,0.24157,1.34986,1.59143,1.0,0.34986
638,0.24157,1.34986,1.59143,1.0,0.34986
639,0.14161,1.34986,1.49147,1.0,0.34986
640,0.0833,1.22486,1.30816,0.875,0.34986
641,0.24157,1.34986,1.59143,1.0,0.34986
642,0.2748899999999999,1.22486,1.49975,0.875,0.34986
643,0.19992,1.88278,2.0827,0.5,1.38278
644,0.0833,1.22486,1.30816,0.875,0.34986
645,0.19159,1.88278,2.07437,0.5,1.38278
646,0.14161,1.22486,1.36647,0.875,0.34986
647,0.0833,0.7248600000000001,0.8081600000000001,0.375,0.34986
648,0.1832599999999999,1.22486,1.40812,0.875,0.34986
649,0.23324,1.34986,1.5831,1.0,0.34986
650,0.14161,1.34986,1.49147,1.0,0.34986
651,0.1832599999999999,1.19134,1.3746,0.375,0.8163400000000001
652,0.3665199999999999,1.34986,1.71638,1.0,0.34986
653,0.38318,0.7248600000000001,1.10804,0.375,0.34986
654,0.19992,1.88278,2.0827,0.5,1.38278
655,0.44149,1.22486,1.66635,0.875,0.34986
656,0.23324,1.88278,2.11602,0.5,1.38278
657,0.19159,1.88278,2.07437,0.5,1.38278
658,0.29988,1.22486,1.52474,0.875,0.34986
659,0.24157,1.22486,1.46643,0.875,0.34986
660,0.23324,1.22486,1.4581,0.875,0.34986
661,0.24157,1.34986,1.59143,1.0,0.34986
662,0.04165,1.22486,1.26651,0.875,0.34986
