,T_UL Data Plane [ms],T_UL Control Delay [ms],T_UL Total [ms],SR Delay [ms],UL Grant to Ul Data Delay  [ms]
99,0.14161,1.34986,1.49147,1.0,0.34986
100,0.28322,1.22486,1.50808,0.875,0.34986
101,0.24157,1.22486,1.46643,0.875,0.34986
102,0.1832599999999999,1.22486,1.40812,0.875,0.34986
103,0.24157,1.22486,1.46643,0.875,0.34986
104,0.1832599999999999,1.22486,1.40812,0.875,0.34986
105,0.14161,1.34986,1.49147,1.0,0.34986
106,0.24157,0.7248600000000001,0.96643,0.375,0.34986
107,0.24157,1.34986,1.59143,1.0,0.34986
108,0.34153,1.22486,1.5663900000000002,0.875,0.34986
109,0.23324,1.34986,1.5831,1.0,0.34986
110,0.29988,1.22486,1.52474,0.875,0.34986
111,0.1832599999999999,1.22486,1.40812,0.875,0.34986
112,0.34153,1.22486,1.5663900000000002,0.875,0.34986
113,0.24157,1.22486,1.46643,0.875,0.34986
114,0.29155,1.34986,1.64141,1.0,0.34986
115,0.3332,0.7248600000000001,1.05806,0.375,0.34986
116,0.14161,1.34986,1.49147,1.0,0.34986
117,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
118,0.5831000000000001,1.22486,1.80796,0.875,0.34986
119,0.29988,1.22486,1.52474,0.875,0.34986
120,0.28322,0.7248600000000001,1.00808,0.375,0.34986
121,0.14161,1.31634,1.45795,0.5,0.8163400000000001
122,0.34153,1.22486,1.5663900000000002,0.875,0.34986
123,0.4165,1.34986,1.7663600000000002,1.0,0.34986
124,0.04165,1.31634,1.35799,0.5,0.8163400000000001
125,0.57477,1.22486,1.79963,0.875,0.34986
126,0.64974,1.22486,1.8746,0.875,0.34986
127,1.14954,0.7248600000000001,1.8744,0.375,0.34986
128,0.14161,1.22486,1.36647,0.875,0.34986
129,0.14161,1.22486,1.36647,0.875,0.34986
130,0.833,1.34986,2.18286,1.0,0.34986
131,0.24157,1.22486,1.46643,0.875,0.34986
132,0.14161,1.34986,1.49147,1.0,0.34986
133,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
134,0.34153,0.7248600000000001,1.0663900000000002,0.375,0.34986
135,0.32487,1.22486,1.54973,0.875,0.34986
136,0.43316,1.80796,2.24112,0.875,0.93296
137,0.3665199999999999,1.22486,1.59138,0.875,0.34986
138,0.24157,1.22486,1.46643,0.875,0.34986
139,0.24157,1.22486,1.46643,0.875,0.34986
140,0.29988,1.22486,1.52474,0.875,0.34986
141,0.14161,1.34986,1.49147,1.0,0.34986
142,0.29988,1.22486,1.52474,0.875,0.34986
143,0.24157,1.22486,1.46643,0.875,0.34986
144,0.34153,1.22486,1.5663900000000002,0.875,0.34986
145,0.24157,1.22486,1.46643,0.875,0.34986
146,0.29988,1.22486,1.52474,0.875,0.34986
147,0.24157,0.7248600000000001,0.96643,0.375,0.34986
148,0.28322,1.22486,1.50808,0.875,0.34986
149,0.29988,1.22486,1.52474,0.875,0.34986
150,0.29988,1.22486,1.52474,0.875,0.34986
151,0.19992,1.80796,2.00788,0.875,0.93296
152,0.44149,1.22486,1.66635,0.875,0.34986
153,0.19159,1.84986,2.04145,1.5,0.34986
154,0.14161,1.22486,1.36647,0.875,0.34986
155,0.09996,1.84986,1.94982,1.5,0.34986
156,0.09996,1.88278,1.98274,0.5,1.38278
157,0.14161,1.84986,1.99147,1.5,0.34986
158,0.14161,1.84986,1.99147,1.5,0.34986
159,0.04165,1.22486,1.26651,0.875,0.34986
160,0.14161,1.84986,1.99147,1.5,0.34986
161,0.14161,1.34986,1.49147,1.0,0.34986
162,0.14161,1.84986,1.99147,1.5,0.34986
163,0.19159,1.84986,2.04145,1.5,0.34986
164,0.14161,1.34986,1.49147,1.0,0.34986
165,0.14161,1.84986,1.99147,1.5,0.34986
166,0.14161,1.84986,1.99147,1.5,0.34986
167,0.1832599999999999,1.84986,2.0331200000000003,1.5,0.34986
168,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
169,0.14161,1.22486,1.36647,0.875,0.34986
170,0.14161,1.22486,1.36647,0.875,0.34986
171,0.14161,1.31634,1.45795,0.5,0.8163400000000001
172,0.14161,1.22486,1.36647,0.875,0.34986
173,0.04165,0.7248600000000001,0.76651,0.375,0.34986
174,0.14161,1.22486,1.36647,0.875,0.34986
175,0.14161,1.22486,1.36647,0.875,0.34986
176,0.14161,1.22486,1.36647,0.875,0.34986
177,0.34153,1.22486,1.5663900000000002,0.875,0.34986
178,0.14161,1.30796,1.44957,0.375,0.93296
179,0.39984,1.22486,1.6247,0.875,0.34986
180,0.14161,1.22486,1.36647,0.875,0.34986
181,0.1832599999999999,1.34986,1.53312,1.0,0.34986
182,0.29988,1.22486,1.52474,0.875,0.34986
183,0.14161,1.22486,1.36647,0.875,0.34986
184,0.24157,1.22486,1.46643,0.875,0.34986
185,0.29988,1.22486,1.52474,0.875,0.34986
186,0.14161,1.22486,1.36647,0.875,0.34986
187,0.99127,0.7248600000000001,1.7161300000000002,0.375,0.34986
188,0.34153,0.7248600000000001,1.0663900000000002,0.375,0.34986
189,0.24157,0.7248600000000001,0.96643,0.375,0.34986
190,0.14161,1.34986,1.49147,1.0,0.34986
191,0.29988,1.22486,1.52474,0.875,0.34986
192,0.19992,1.22486,1.4247800000000002,0.875,0.34986
193,0.1832599999999999,0.7248600000000001,0.90812,0.375,0.34986
194,0.3665199999999999,1.22486,1.59138,0.875,0.34986
195,0.24157,1.22486,1.46643,0.875,0.34986
196,0.1832599999999999,1.34986,1.53312,1.0,0.34986
197,0.39984,1.22486,1.6247,0.875,0.34986
198,0.23324,0.7248600000000001,0.9581,0.375,0.34986
199,0.28322,0.7248600000000001,1.00808,0.375,0.34986
200,0.09996,1.88278,1.98274,0.5,1.38278
201,0.28322,1.22486,1.50808,0.875,0.34986
202,0.29155,1.22486,1.51641,0.875,0.34986
203,0.23324,1.22486,1.4581,0.875,0.34986
204,0.14161,1.34986,1.49147,1.0,0.34986
205,0.29155,1.22486,1.51641,0.875,0.34986
206,0.14161,1.22486,1.36647,0.875,0.34986
207,0.14161,1.22486,1.36647,0.875,0.34986
208,0.14161,1.22486,1.36647,0.875,0.34986
209,0.29155,1.22486,1.51641,0.875,0.34986
210,0.29155,1.22486,1.51641,0.875,0.34986
211,0.14161,1.22486,1.36647,0.875,0.34986
212,0.14161,1.22486,1.36647,0.875,0.34986
213,0.14161,1.22486,1.36647,0.875,0.34986
214,0.14161,1.22486,1.36647,0.875,0.34986
215,0.14161,1.22486,1.36647,0.875,0.34986
216,0.14161,1.22486,1.36647,0.875,0.34986
217,0.23324,1.22486,1.4581,0.875,0.34986
218,0.3915099999999999,1.22486,1.61637,0.875,0.34986
219,0.14161,0.7248600000000001,0.8664700000000001,0.375,0.34986
220,0.38318,0.7248600000000001,1.10804,0.375,0.34986
221,0.09996,1.22486,1.32482,0.875,0.34986
222,0.14161,1.34986,1.49147,1.0,0.34986
223,0.1832599999999999,1.22486,1.40812,0.875,0.34986
224,0.24157,1.34986,1.59143,1.0,0.34986
225,0.24157,1.34986,1.59143,1.0,0.34986
226,0.29988,0.7248600000000001,1.02474,0.375,0.34986
227,0.24157,1.22486,1.46643,0.875,0.34986
228,0.14161,1.34986,1.49147,1.0,0.34986
229,0.19992,1.88278,2.0827,0.5,1.38278
230,0.42483,1.34986,1.77469,1.0,0.34986
231,0.14161,1.22486,1.36647,0.875,0.34986
232,0.1832599999999999,1.22486,1.40812,0.875,0.34986
233,0.24157,1.34986,1.59143,1.0,0.34986
234,0.14161,1.34986,1.49147,1.0,0.34986
235,0.5831000000000001,1.22486,1.80796,0.875,0.34986
236,0.34153,1.22486,1.5663900000000002,0.875,0.34986
237,0.29988,1.22486,1.52474,0.875,0.34986
238,0.24157,1.34986,1.59143,1.0,0.34986
239,0.24157,1.22486,1.46643,0.875,0.34986
240,0.44149,1.22486,1.66635,0.875,0.34986
