,EdgeServer,cdrx Overhead [ms]
0,LZ,5.883479999999999
1,LZ,4.333599999999997
2,LZ,7.408369999999998
3,LZ,6.4251799999999974
4,LZ,6.4251799999999974
5,LZ,6.650089999999999
6,LZ,5.400089999999999
7,LZ,5.1751799999999974
8,LZ,6.783369999999998
9,LZ,7.275089999999999
10,LZ,6.10839
11,LZ,7.28342
12,LZ,3.5250899999999987
13,LZ,6.025089999999999
14,LZ,6.4251799999999974
15,LZ,6.433509999999998
16,LZ,2.0501799999999974
17,LZ,5.1751799999999974
18,LZ,6.650089999999999
19,LZ,3.9251799999999974
20,LZ,8.60839
21,LZ,6.650089999999999
22,LZ,2.2750899999999987
23,LZ,6.125050000000002
24,LZ,1.0250899999999987
25,LZ,6.650089999999999
26,LZ,2.98339
27,LZ,5.7085500000000025
28,LZ,4.775089999999999
29,LZ,5.40842
30,LZ,6.025089999999999
31,LZ,7.408369999999998
32,LZ,7.28342
33,LZ,4.5501799999999974
34,LZ,6.908569999999997
35,LZ,5.8918099999999995
36,LZ,6.433509999999998
37,LZ,6.650089999999999
38,LZ,6.025089999999999
39,LZ,6.65842
40,LZ,5.40842
41,LZ,5.808509999999998
42,LZ,2.9000899999999987
43,LZ,1.0250899999999987
44,LZ,6.650089999999999
45,LZ,6.025089999999999
46,LZ,6.52514
47,LZ,6.650089999999999
48,LZ,8.383479999999999
49,LZ,6.16695
50,LZ,5.791849999999997
51,LZ,5.1751799999999974
52,LZ,7.133479999999999
53,LZ,2.2750899999999987
54,LZ,7.35839
55,LZ,3.9251799999999974
56,LZ,2.9000899999999987
57,LZ,5.883479999999999
58,LZ,6.4251799999999974
59,LZ,6.650089999999999
60,LZ,7.35839
61,LZ,6.508479999999999
62,LZ,5.8001799999999974
63,LZ,6.4251799999999974
64,LZ,2.2750899999999987
65,LZ,5.883479999999999
66,LZ,6.025089999999999
67,LZ,6.508479999999999
68,LZ,6.025089999999999
69,LZ,6.650089999999999
70,LZ,4.150089999999999
71,LZ,2.5918800000000033
72,LZ,6.200270000000003
73,LZ,7.28342
74,LZ,1.5084799999999987
75,LZ,5.8918099999999995
76,LZ,2.2750899999999987
77,LZ,7.275089999999999
78,LZ,0.175180000000001
79,LZ,6.650089999999999
80,LZ,7.275089999999999
81,LZ,8.60839
82,LZ,6.4251799999999974
83,LZ,7.041849999999997
84,LZ,6.283569999999997
85,LZ,6.433509999999998
86,LZ,8.60839
87,LZ,6.783369999999998
88,LZ,6.650089999999999
89,LZ,6.4251799999999974
90,LZ,5.041899999999998
91,LZ,6.4251799999999974
92,LZ,6.650089999999999
93,LZ,7.275089999999999
94,LZ,6.650089999999999
95,LZ,6.650089999999999
96,LZ,7.758479999999999
97,LZ,0.2584799999999987
98,LZ,6.650089999999999
99,LZ,6.650089999999999
100,LZ,6.650089999999999
101,LZ,6.650089999999999
102,LZ,6.4251799999999974
103,LZ,6.650089999999999
104,LZ,6.508479999999999
105,LZ,7.275089999999999
106,RG,11.73339
107,RG,14.775089999999999
108,RG,2.7423199999999994
109,RG,3.7835699999999974
110,RG,8.60839
111,RG,3.9335099999999983
112,RG,0.8834799999999987
113,RG,3.7002700000000033
114,RG,6.4251799999999974
115,RG,2.98339
116,RG,0.48339
117,RG,4.150089999999999
118,RG,3.60839
119,RG,3.5250899999999987
120,RG,11.10839
121,RG,20.48339
122,RG,3.3918099999999995
123,RG,11.425179999999997
124,RG,11.425179999999997
125,RG,14.550179999999997
126,RG,2.9000899999999987
127,RG,3.60839
128,RG,3.5250899999999987
129,RG,2.6835099999999983
130,RG,2.2750899999999987
131,RG,12.275089999999999
132,RG,10.800179999999997
133,RG,0.7418699999999987
134,RG,11.10839
135,RG,10.800179999999997
136,RG,2.9000899999999987
137,RG,2.9000899999999987
138,RG,11.650089999999999
139,RG,11.650089999999999
140,RG,2.2750899999999987
141,RG,9.550179999999997
142,RG,2.2750899999999987
143,RG,2.9000899999999987
144,RG,8.967080000000003
145,RG,3.5250899999999987
146,RG,10.908470000000001
147,RG,1.766960000000001
148,RG,0.8085099999999983
149,RG,1.8336000000000006
150,RG,4.150089999999999
151,RG,3.60839
152,RG,5.258479999999999
153,RG,11.10839
154,RG,7.0001999999999995
155,RG,8.516759999999998
156,RG,14.150089999999999
157,RG,2.0585099999999983
158,RG,13.383479999999999
159,RG,2.850360000000002
160,RG,6.5168099999999995
161,RG,8.483690000000003
162,RG,7.717080000000003
163,RG,4.775089999999999
164,RG,3.475360000000002
165,RG,6.608690000000003
166,RG,8.308509999999998
167,RG,8.708599999999997
168,RG,6.4251799999999974
169,RG,9.367170000000002
170,RG,2.9000899999999987
171,RG,15.441740000000003
172,RG,4.775089999999999
173,RG,9.683709999999998
174,RG,8.092179999999999
175,RG,9.717030000000001
176,RG,12.616869999999999
177,RG,20.559109999999997
178,RG,0.8261700000000012
179,RG,5.02599
180,RG,0.7504500000000007
181,RG,11.00918
182,RG,11.683660000000003
183,RG,13.300179999999997
184,RG,12.275089999999999
185,RG,12.501999999999995
186,RG,3.8754500000000007
187,RG,3.60839
188,RG,14.725360000000002
189,RG,6.702069999999999
190,RG,4.675629999999998
191,RG,4.725360000000002
192,RG,10.625999999999998
193,RG,11.15054
194,RG,3.958750000000002
195,RG,12.40054
196,RG,12.275089999999999
197,RG,5.400089999999999
198,RG,3.9251799999999974
199,RG,2.1259000000000015
200,RG,11.200270000000003
201,RG,11.200270000000003
202,RG,12.275089999999999
203,RG,2.35839
204,RG,2.6751799999999974
205,RG,10.400089999999999
206,RG,2.1334799999999987
207,RG,10.1252
