,T_HO
0,2
1,2
2,4
3,2
4,5
5,2
6,2
7,3
8,3
9,5
10,3
11,2
12,2
13,2
14,2
15,3
16,2
17,5
18,5
19,2
20,2
21,2
22,5
23,4
24,3
25,2
26,2
27,2
28,2
29,4
30,2
31,3
32,2
33,3
34,4
35,2
36,5
37,2
38,2
39,3
40,2
41,2
42,3
43,4
44,2
45,2
46,5
47,3
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,3
57,2
58,3
59,2
60,2
61,2
62,3
63,5
64,2
65,5
66,2
67,2
68,3
69,2
70,2
71,2
72,3
73,2
74,2
75,2
76,2
77,2
78,5
79,2
80,2
81,2
82,2
83,4
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
