,MCS UL,WB CQI_bins
0,2.875,9
1,19.33333333333333,8
2,14.0,9
3,7.285714285714286,10
4,10.733333333333333,9
5,7.375,12
6,7.375,7
7,3.75,9
8,5.666666666666667,9
9,4.833333333333333,6
10,3.2222222222222223,8
11,0.1666666666666666,9
12,0.0,8
13,8.555555555555555,6
14,10.066666666666666,9
15,11.714285714285714,11
16,16.454545454545453,10
17,10.285714285714286,9
18,11.428571428571429,9
19,21.1,9
20,9.8,10
21,12.428571428571429,9
22,5.166666666666667,9
23,3.0,9
24,17.5,7
25,16.428571428571427,11
26,9.9,10
27,4.416666666666667,11
28,2.75,11
29,16.5,9
30,10.909090909090908,8
31,9.88888888888889,9
32,9.909090909090908,8
33,21.6,10
34,7.3076923076923075,9
35,2.7142857142857144,9
36,8.6,12
37,18.27272727272728,10
38,15.0,12
39,19.8,7
40,8.416666666666666,8
41,11.076923076923077,8
42,5.375,9
43,0.8571428571428571,8
44,8.75,10
45,16.125,10
46,19.33333333333333,9
47,8.76923076923077,11
48,14.11111111111111,11
49,16.6,7
50,9.181818181818182,10
51,13.2,9
52,8.6875,9
53,12.904761904761903,9
54,12.533333333333331,10
55,11.511111111111113,9
56,5.0,10
57,7.4375,11
58,16.153846153846153,10
59,11.8,10
60,8.5625,9
61,14.363636363636363,8
62,6.25,7
63,7.125,7
64,6.294117647058823,9
65,3.75,8
66,12.181818181818182,12
67,9.0,9
68,1.5,9
69,8.0,9
70,0.0,9
71,5.0,6
72,5.8,10
73,2.0,9
74,1.75,11
75,5.666666666666667,9
76,8.875,8
77,6.5,9
78,7.0,10
79,13.5,12
80,10.5,10
81,4.266666666666667,8
82,6.2,10
83,5.142857142857143,9
84,2.7857142857142856,7
85,2.0,9
86,1.72,9
87,12.12,10
88,12.0,9
89,19.33333333333333,9
90,7.826086956521739,9
91,3.272727272727273,9
92,6.454545454545454,8
93,10.2,11
94,11.68421052631579,9
95,7.181818181818182,9
96,8.454545454545455,9
97,5.545454545454546,9
98,9.083333333333334,9
99,2.8461538461538463,9
100,1.0,9
